champion_id,avg_attack_damage,avg_ap_damage,avg_true_damage,num_games
1,1209.92,20443.31,867.90,211
2,17399.36,82.46,7421.62,163
3,307.10,16071.05,518.34,415
4,4240.50,14763.16,553.49,390
5,17672.09,1420.51,888.73,353
6,19250.03,102.72,1986.07,278
7,1545.34,19315.03,2119.84,257
8,1143.47,24081.57,540.03,357
9,342.72,17384.63,1006.24,183
10,4763.58,13681.83,310.18,206
11,13688.77,589.57,5989.73,214
12,1057.10,6092.87,647.53,541
13,1150.68,23373.52,250.62,467
14,11915.51,7424.05,440.67,551
15,23496.63,263.12,296.12,360
16,822.36,4212.40,288.12,387
17,3700.74,21822.18,1742.03,118
18,19171.97,2001.22,469.82,337
19,9804.27,9606.60,402.24,126
20,895.85,12908.77,791.37,206
21,23510.53,969.86,660.64,238
22,19165.12,1818.82,282.02,685
23,20614.45,155.13,1805.06,140
24,10004.85,9038.75,702.58,429
25,981.55,12909.30,574.27,168
26,1402.51,7824.62,316.59,182
27,1172.99,16609.67,413.42,278
28,579.25,18149.92,1239.94,77
29,18733.59,1318.05,3950.91,255
30,427.79,29426.49,2220.38,243
31,3313.04,13283.30,4812.95,185
32,1236.69,9308.15,1956.06,97
33,3426.10,8305.72,473.79,29
34,1636.96,16530.07,1295.12,395
35,5440.32,11736.81,3030.52,264
36,9987.71,12236.02,728.23,382
37,2695.61,8718.46,115.01,687
38,3037.47,19927.02,1877.44,162
39,15389.23,5116.35,867.30,435
40,1170.28,5559.91,529.99,307
41,21091.85,4748.58,4763.14,179
42,17848.12,5736.85,3667.60,631
43,1099.20,8769.14,401.86,1033
44,2477.65,4189.63,439.27,60
45,845.27,22314.97,507.52,423
48,14140.22,2454.60,724.34,67
50,1477.32,19945.85,537.79,364
51,22313.11,703.97,380.89,595
53,2780.53,5437.13,785.04,256
54,5294.30,12347.18,460.20,407
55,3813.96,18927.78,1745.52,356
56,16563.28,1163.52,1709.01,293
57,1599.11,11310.92,707.40,132
58,15778.89,3463.58,766.19,446
59,15022.88,1309.63,1060.71,503
60,1469.73,15342.34,1765.32,261
61,1364.57,20611.82,259.41,405
62,14859.50,2315.22,1288.86,200
63,970.03,21257.89,955.80,287
64,14924.30,2806.65,1268.37,649
67,19337.57,725.41,5400.61,409
68,1019.02,22656.55,1139.07,415
69,508.85,20252.70,414.41,201
72,12306.06,6281.72,891.59,144
74,1357.06,25749.02,576.73,51
75,13892.56,4096.19,282.99,435
76,1920.11,14396.19,1969.57,282
77,5529.89,14957.43,786.04,232
78,13711.55,2695.35,700.67,339
79,1541.88,17305.63,739.75,178
80,18278.91,752.88,1608.98,499
81,19449.88,8199.69,468.27,1205
82,2988.07,19050.28,1088.85,148
83,15257.01,7040.41,371.57,112
84,1535.54,21153.22,1762.36,557
85,3292.74,20399.09,666.39,193
86,16379.63,93.61,5146.86,302
89,2720.42,5923.96,666.05,475
90,556.63,19349.13,247.14,133
91,21597.54,116.57,2217.51,423
92,16787.20,57.02,1257.43,342
96,5125.24,19489.29,2273.53,136
98,8424.87,6706.24,810.45,491
99,1360.68,20584.55,765.74,385
101,806.83,25377.50,421.38,399
102,7765.90,9197.33,2992.86,414
103,1824.76,16231.95,4949.08,691
104,20760.36,880.00,1849.21,1182
105,3362.80,16082.36,1753.66,270
106,11139.28,9048.14,777.93,213
107,19159.94,1225.72,2029.73,250
110,15481.48,9562.55,270.06,374
111,2804.60,6007.70,728.81,917
112,748.72,26439.16,380.08,519
113,10052.41,6441.00,1102.34,64
114,13066.71,1057.45,7588.51,295
115,1063.98,27460.16,406.46,246
117,1177.89,5946.13,237.38,455
119,25131.10,117.39,363.10,335
120,17047.86,3036.01,648.76,392
121,17774.53,1341.55,2569.46,339
122,13757.88,70.34,3978.30,241
126,20090.03,4146.48,1616.68,908
127,1355.35,20159.07,632.96,318
131,2225.58,17795.41,1338.16,177
133,23629.56,844.06,2378.41,71
134,869.68,20664.98,1849.41,492
136,214.85,25108.41,793.89,198
141,18977.00,1351.99,1566.84,188
142,1998.99,17188.47,3574.89,425
143,1100.02,22228.19,1231.46,277
145,13936.08,9543.23,392.89,571
147,1667.44,10534.00,159.20,668
150,19010.41,3991.62,332.59,342
154,1274.86,15103.01,1840.92,348
157,17831.99,1953.12,592.50,699
161,624.56,18545.47,7319.85,197
163,1055.05,20166.79,1207.59,389
164,13438.62,1066.78,6825.04,334
166,19802.76,3077.69,1367.03,186
200,13165.97,2112.69,3180.37,244
201,1403.71,5800.36,215.98,321
202,20382.02,1194.18,290.09,714
